
Security,ISIN,Sector,Industry,Date,Price,1 day change (%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap (Cr),Enterprise Value (Cr)
3M India Ltd.,INE470A01017,Diversified,Diversified,2022-12-06,"23,074.75",-0.15,"17,273.00","26,943.00","15,685.60","31,000.00","15,250.00","31,000.00",223.25,"31,000.00","25,963.68","24,677.77"
Aarti Drugs Ltd.,INE767A01016,Healthcare,Drugs & Pharma,2022-12-06,461.00,0.16,378.00,608.00,105.25,"1,026.95",104.83,"1,026.95",1.62,"1,026.95","4,287.38","4,776.07"
Aavas Financiers Ltd.,INE216P01012,Financial,Housing Finance,2022-12-06,"1,888.45",-0.09,"1,815.00","3,340.00",845.75,"3,340.00",,,611.50,"3,340.00","14,928.56","21,364.02"
ABB India Ltd.,INE117A01022,Capital Goods,Switching Equipment,2022-12-06,"2,962.00",-0.46,"1,944.60","3,446.30",722.00,"3,446.30",722.00,"3,446.30",29.27,"3,446.30","63,303.39","60,385.73"
Abbott India Ltd.,INE358A01014,Healthcare,Drugs & Pharma,2022-12-06,"20,099.80",0.20,"15,514.00","20,900.80","12,186.55","23,934.45","5,210.00","23,934.45",220.00,"23,934.45","42,602.94","39,873.16"
ACC Ltd.,INE012A01025,Materials,Cement,2022-12-06,"2,648.45",1.04,"1,902.00","2,785.00",895.15,"2,785.00",895.15,"2,785.00",82.10,"2,785.00","49,173.97","41,700.97"
Adani Enterprises Ltd.,INE423A01024,Services,Trading,2022-12-06,"4,023.00",2.36,"1,528.80","4,096.00",116.25,"4,098.10",100.85,"4,098.10",4.57,"4,098.10","449,776.04","484,498.30"
Adani Green Energy Ltd.,INE364U01010,Capital Goods,Power Projects,2022-12-06,"2,064.00",1.07,"1,295.00","3,050.00",111.90,"3,050.00",,,22.75,"3,050.00","327,007.66","373,616.79"
Adani Ports and Special Economic Zone Ltd.,INE742F01042,Services,Marine Port Services,2022-12-06,896.00,0.32,651.95,987.85,203.00,987.90,203.00,987.90,50.00,987.90,"192,068.75","228,102.01"
Adani Power Ltd.,INE814H01011,Energy,Electricity Generation,2022-12-06,326.65,1.11,95.10,432.50,23.00,432.80,15.15,432.80,15.15,432.80,"125,524.08","170,826.89"
